dataset,dataset_size,controlled_setting,evaluated_configuration
WetGrass,N = 100,T = 30,"R in {10, 50, 100, 250, 500}"
WetGrass,N = 100,R = 100,"T in {5, 10, 20, 50}"
WetGrass,N = 10000,T = 20,"R in {100, 500, 1000, 5000, 10000}"
WetGrass,N = 10000,R = 1000,"T in {1, 5, 10, 20, 50}"
Market Basket,N = 100,T = 30,"R in {10, 50, 100, 250, 500}"
Market Basket,N = 100,R = 100,"T in {5, 10, 20, 50}"
Market Basket,N = 10000,T = 20,"R in {100, 500, 1000, 5000, 10000}"
Market Basket,N = 10000,R = 1000,"T in {1, 5, 10, 20, 50}"
NHANES,N = 2278,T = 10,"R in {100, 500, 1000, 2500}"
NHANES,N = 2278,R = 1000,"T in {5, 10, 20}"
